region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Chhattisgarh,,2005,110440237.8,338299,12.731685428367829,18.51998509822927
Kerala,Kerala,2005,184072332.8,373425,12.830472486957632,19.030839351368048
Punjab,Punjab,2005,194507626.6,1007413,13.822896226643492,19.085981931565087
Uttarakhand,,2005,96072739.4,143852,11.8765403417705,18.380616164604138
NCT of Delhi,Delhi,2005,144515034.5,109778,11.606215514776164,18.788894105087156
Haryana,,2005,116411502.2,748214,13.52544432566073,18.57264190453082
Odisha,,2005,86226910.23999998,341598,12.74138991535265,18.272492870673414
Assam,,2005,68192656.71,220817,12.305089628461278,18.03784744414265
Puducherry,,2005,18763424.92,20218,9.914329070322644,16.74742004991137
Himachal Pradesh,,2005,36915935.93,155668,11.955480877496012,17.42415388380428
Jammu and Kashmir,,2005,49698106.78,189688,12.153135948864959,17.721477397383556
Tripura,,2005,10788451.47,41307,10.628787498202172,16.193986811643075
Goa,Goa,2005,12469898.96,52099,10.860901225641534,16.338828214977042
Manipur,,2005,7218714.911999999,14735,9.597981573827825,15.792187504999204
Meghalaya,,2005,8823648.927,25593,10.150074546308568,15.99294605297258
Nagaland,,2005,5445517.392,11033,9.30864696713169,15.510303331322545
Sikkim,Sikkim,2005,3322274.178,7201,8.881976572943916,15.016160099765287
Mizoram,,2005,5546577.753,6730,8.81433190852177,15.52869167445257
Lakshadweep,,2005,873242.052,239,5.476505392060385,13.679968060995824
Uttar Pradesh,,2006,552262106.7,996747,13.812252265489917,20.129533322523073
Maharashtra,Maharashtra,2006,533135967.8,1510797,14.22814789073455,20.094287048659798
Telangana,,2006,282687605.4,806108,13.599973019954739,19.459852978052144
Bihar,Bihar,2006,259755499.9,165482,12.01661776698454,19.37525136154043
Madhya Pradesh,,2006,253423171.4,635442,13.362076114464543,19.3505712636597
West Bengal,,2006,259498599.3,546728,13.211706718251452,19.374261862867787
Gujarat,,2006,302762534.1,1053021,13.867173743433684,19.528459340366247
Andhra Pradesh,,2006,296576845.7,923359,13.735773397773018,19.507816918875708
Tamil Nadu,,2006,241122742.5,1337983,14.106673821532889,19.30081666678242
Karnataka,,2006,265553727.0,1154280,13.958987339598071,19.397327739755845
Jharkhand,,2006,138147818.6,179151,12.09598436045095,18.74383481912579
Rajasthan,,2006,221240339.9,1309171,14.084904678070382,19.214760179430197
Chhattisgarh,,2006,114831657.0,280427,12.544068756179634,18.558977761675255
Kerala,Kerala,2006,216154062.4,354578,12.778683657162947,19.191501963257075
Punjab,Punjab,2006,212431464.0,1019135,13.83446479606833,19.174129971954283
Uttarakhand,,2006,100119674.4,162570,11.998864018740232,18.421876772425076
NCT of Delhi,Delhi,2006,146668265.7,112236,11.62835916532052,18.80368389864904
Haryana,,2006,125760586.4,712331,13.4762979840462,18.649890549484173
Odisha,,2006,93003153.99,296105,12.598469433906015,18.348143964413435
Assam,,2006,74899422.56,201804,12.21505225786378,18.131656738978425
Puducherry,,2006,19619534.55,20707,9.938227569268387,16.7920362885785
Himachal Pradesh,,2006,40589630.96,157005,11.96403299464933,17.519023196879193
Jammu and Kashmir,,2006,54260549.9,179269,12.09664280583725,17.809307999681117
Tripura,,2006,11589513.45,33184,10.409823412379255,16.265611234279437
